Nodes : 23434  Edges : 22911
Highest degree : 113  Highest weight : 103
Id : yannkees14  Deg : 3  Max weight : [('ParrainIzidor', 11)]
Id : ParrainIzidor  Deg : 7  Max weight : [('yannkees14', 11)]
Id : _mbd80  Deg : 1  Max weight : [('all_sawda', 17)]
Id : vii_shn  Deg : 1  Max weight : [('mnl_pvv', 15)]
Id : pattyleplusbeau  Deg : 1  Max weight : [('cestencorejack', 13)]
Id : ARMY_Belgium  Deg : 3  Max weight : [('ARMY_Belgium', 28)]
Id : PieterTobback  Deg : 6  Max weight : [('PieterTobback', 18)]
Id : Assita_Kanko  Deg : 2  Max weight : [('Assita_Kanko', 12)]
Id : mikasadl  Deg : 6  Max weight : [('lmhfss', 17)]
Id : Lancienneee  Deg : 1  Max weight : [('vatosantos99', 11)]
Id : lslxooo  Deg : 1  Max weight : [('ElHajjHagop8', 30)]
Id : shqpebsk2  Deg : 5  Max weight : [('iciiyumek', 11)]
Id : minhoscut  Deg : 1  Max weight : [('yeriouam', 13)]
Id : Fred_tsb  Deg : 1  Max weight : [('Aymane893', 11)]
Id : olivier_klein  Deg : 6  Max weight : [('olivier_klein', 14)]
Id : adamss1901  Deg : 5  Max weight : [('adamss1901', 12)]
Id : tashiy111  Deg : 1  Max weight : [('krasnoselskikhM', 19)]
Id : Charlinemmmm  Deg : 3  Max weight : [('DjeeDeeBee', 13)]
Id : DBoucedra  Deg : 4  Max weight : [('tsbcqui', 14)]
Id : librarianbe  Deg : 5  Max weight : [('HansVdbogaerde', 17)]
Id : Lk_Etina  Deg : 1  Max weight : [('Tsuna11k', 13)]
Id : ebonykorny  Deg : 2  Max weight : [('Tg_leese', 13)]
Id : Vrai_Antichrist  Deg : 1  Max weight : [('Vrai_Antichrist', 20)]
Id : Skriloxx  Deg : 5  Max weight : [('stphgt', 16)]
Id : duncspenc  Deg : 1  Max weight : [('Beeron1030', 11)]
Id : wizoldik  Deg : 3  Max weight : [('wizoldik', 20)]
Id : sempiterneIIe  Deg : 1  Max weight : [('nvfertiti', 11)]
Id : JIPU6IOF4Pr9HPT  Deg : 1  Max weight : [('haltin831', 11)]
Id : _kimonidas  Deg : 1  Max weight : [('vatosantos99', 15)]
Id : RedHood_187  Deg : 1  Max weight : [('xsharetty', 20)]
Id : cwetudidthere  Deg : 3  Max weight : [('eatmycutefart', 12)]
Id : AILLEURS2507  Deg : 7  Max weight : [('AILLEURS2507', 12)]
Id : BrownColinM  Deg : 3  Max weight : [('BrownColinM', 14)]
Id : stayhydrater  Deg : 1  Max weight : [('DuchGimenez', 12)]
Id : noodleyah  Deg : 5  Max weight : [('noodleyah', 12)]
Id : tomapvv  Deg : 1  Max weight : [('wolfdestiel', 11)]
Id : ya_Erikaaa  Deg : 2  Max weight : [('cestadil', 11)]
Id : DaveKeating  Deg : 2  Max weight : [('DaveKeating', 12)]
