,user,user_id,location,is_reply_to,reply_id,is_quoted,is_rt,time
184,KabongoRichard4,909761210555432960,Mons,5628o,2640632138,False,False,2020-12-30 16:32:14
185,PWullen,4871482462,Ghent,,,True,False,2020-12-30 16:31:48
186,Kimpy001,277077567,Zoutleeuw,TotallyAnders,2168925260,False,False,2020-12-30 16:31:36
187,BjornPrasse,54215241,Blankenberge,axel_ronse,1053868090742792193,False,False,2020-12-30 16:31:27
188,BiancaCvozC1,928260889031200773,Overpelt,,,False,False,2020-12-30 16:31:27
189,stevenheylen,29978778,Aartselaar,VlxDanny,999624232832241664,False,False,2020-12-30 16:31:24
190,carlosbrunoferr,123107326,Brussels,,,True,False,2020-12-30 16:31:10
191,gunterthiebaut,544717722,Bruges,,,False,False,2020-12-30 16:31:09
192,baetsleerk,463185387,Spoedgevallen,,,False,False,2020-12-30 16:31:04
193,pieter_tack,1305457129,Tienen,radio1be,34554377,False,False,2020-12-30 16:31:01
194,Kimpy001,277077567,Zoutleeuw,Femke_23,937695348,False,False,2020-12-30 16:30:51
195,baronjona,1300841490562908160,Mol,,,False,False,2020-12-30 16:30:50
196,pLUpF69eA4Ra0ME,1042434654744264705,Brecht,singzgaming,2977015751,False,False,2020-12-30 16:30:47
197,BiancaCvozC1,928260889031200773,Overpelt,BiancaCvozC1,928260889031200773,False,False,2020-12-30 16:30:34
198,The_Nevi,701975497,Liege,,,False,False,2020-12-30 16:30:16
199,laurentminguet,1269763724,Chaudfontaine,,,True,False,2020-12-30 16:29:45
200,BiancaCvozC1,928260889031200773,Overpelt,,,False,False,2020-12-30 16:29:41
201,lionrun,22137018,Etterbeek,,,True,False,2020-12-30 16:29:17
202,henrioutai,969858428125532160,Boutersem,fbctadoido,996353709683740673,False,False,2020-12-30 16:29:14
203,KabongoRichard4,909761210555432960,Mons,Beenky1,1002792049693904897,False,False,2020-12-30 16:29:07
204,MichelJanssend,1250792191867355136,Antwerp,,,False,False,2020-12-30 16:28:52
205,t_mobilis_nl,55241812,Dilbeek,,,False,False,2020-12-30 16:28:40
206,lesjeunescdh,231117084,Mons,lesjeunescdh,231117084,False,False,2020-12-30 16:28:35
207,lesjeunescdh,231117084,Mons,lesjeunescdh,231117084,False,False,2020-12-30 16:28:34
208,lesjeunescdh,231117084,Mons,,,False,False,2020-12-30 16:28:34
209,BiancaCvozC1,928260889031200773,Overpelt,,,False,False,2020-12-30 16:28:28
210,DarthSquig,19772495,Etterbeek,,,True,False,2020-12-30 16:28:15
211,Theophaniaaaa,387614999,Ouffet,JeremyRenner,2715115656,False,False,2020-12-30 16:27:29
212,realityglimpses,3992973797,Verviers,DolinaRoztoki,4351985601,False,False,2020-12-30 16:27:09
213,HoshengO,1054657144652529666,Ostend,,,False,False,2020-12-30 16:27:05
214,SalembierSteve1,2219195380,Bruges,BartSmet1,776138066671071232,False,False,2020-12-30 16:27:05
215,stefan_vanloock,3121031667,Haacht,Franko_PM,57657878,False,False,2020-12-30 16:27:02
216,O_Verstraeten,57806458,Kampenhout,,,False,False,2020-12-30 16:26:41
217,BekemansLars,960557838228688898,Ghent,,,False,False,2020-12-30 16:26:40
218,rninjago2,1312066876009312261,Antwerp,_Chichine,3081989015,False,False,2020-12-30 16:26:24
219,sd_oslm,1327026910866575361,Jette,ismo_78,1131701798232887297,False,False,2020-12-30 16:26:19
220,BiIclek,2240126164,Lanaken,,,False,False,2020-12-30 16:25:43
221,JosseMatt,317145854,Ostend,,,False,False,2020-12-30 16:25:43
222,tmj_bel_sales,38590535,Antwerp,,,False,False,2020-12-30 16:25:41
223,EVANVAERENBERGH,737148028478447620,Flobecq,KheyTorique,774963262165229568,False,False,2020-12-30 16:25:39
224,henrioutai,969858428125532160,Boutersem,_anaaluap,386337558,False,False,2020-12-30 16:24:57
225,truyenc,361147428,Boortmeerbeek,VevaDan,1010768934,False,False,2020-12-30 16:24:56
226,rninjago2,1312066876009312261,Antwerp,_Chichine,3081989015,False,False,2020-12-30 16:24:55
227,mitsieken,1019958266841923585,Stekene,Innpeetersgmai1,1282423799732998144,False,False,2020-12-30 16:24:51
228,tinynews_be,29404934,Chièvres,Marm0te,60978324,False,False,2020-12-30 16:24:45
229,tinynews_be,29404934,Chièvres,FrantzenElodie,1237123331675095042,False,False,2020-12-30 16:23:52
230,_cmoiwshh,1215446748598063104,Sint-Jans-Molenbeek,yass_ackerman,1336010088285433861,False,False,2020-12-30 16:22:50
231,Ceceboike,2525627904,Stekene,szekelyegyes,1321367303536214016,False,False,2020-12-30 16:22:42
232,mitsieken,1019958266841923585,Stekene,quisthoudt,2247726913,False,False,2020-12-30 16:22:33
233,GOENRI,113915864,Ukkel,rnadxb,3972607857,False,False,2020-12-30 16:22:24
234,_cmoiwshh,1215446748598063104,Sint-Jans-Molenbeek,_Md_031,702189665588277248,False,False,2020-12-30 16:22:20
235,patjebear,359433207,Zedelgem,astro518,929257443166703616,False,False,2020-12-30 16:22:16
236,blue_knacki,4882054979,Aubange,,,False,False,2020-12-30 16:22:12
237,stefmoernaut,2200041997,Dendermonde,,,False,False,2020-12-30 16:22:03
238,patjebear,359433207,Zedelgem,astro518,929257443166703616,False,False,2020-12-30 16:21:52
239,DroverYvo,1285614436489854981,Ostend,Christophe_S21,248580638,False,False,2020-12-30 16:21:33
240,patjebear,359433207,Zedelgem,sololaz,2259447446,False,False,2020-12-30 16:21:31
241,m_alexandra_,130965065,Elsene,,,False,False,2020-12-30 16:21:29
242,kufikiria,845276010,Bruges,DanteForesi,86574872,False,False,2020-12-30 16:21:28
243,henrioutai,969858428125532160,Boutersem,_vidalzin6,1222579258150785024,False,False,2020-12-30 16:21:04
244,patjebear,359433207,Zedelgem,sololaz,2259447446,False,False,2020-12-30 16:20:57
245,NDeWestelinck,49323784,Antwerp,_Linda_2,970628514,False,False,2020-12-30 16:20:55
246,MatsSannen,1182950258579591168,Retie,,,False,False,2020-12-30 16:20:55
247,BeaRios_,156776475,Elsene,,,False,False,2020-12-30 16:20:54
248,stevenheylen,29978778,Aartselaar,NicoleEnHumo,2205565616,False,False,2020-12-30 16:20:36
249,patjebear,359433207,Zedelgem,stickysweett,130284358,False,False,2020-12-30 16:20:29
250,ErrantStrategry,2229848017,Zaventem,,,False,False,2020-12-30 16:19:38
251,V_Forconi,321467589,Vorst,zeropregi,61162279,False,False,2020-12-30 16:19:23
252,MTchekouteff,458268039,Nazareth,RunHelenLane,32433019,False,False,2020-12-30 16:18:53
253,MorrisseyIndeed,844039224701734912,Antwerp,,,False,False,2020-12-30 16:18:51
254,nietnuLaura,2228604475,Antwerp,studio_caro,1106609658,False,False,2020-12-30 16:18:37
255,john_caubo,12084402,Antwerp,,,False,False,2020-12-30 16:18:35
256,stevenheylen,29978778,Aartselaar,Nieuwsblad_be,7762342,False,False,2020-12-30 16:17:56
257,JackyVandecast1,1324290998432878593,Tielt,Rick_1611_,1196871351132405760,False,False,2020-12-30 16:17:56
258,GentseMarteko,178668985,Ghent,JanWouters7,976194674,False,False,2020-12-30 16:17:41
259,CatherineMols2,1226120319670407169,Poperinge,maksim92306025,1073180066417397761,False,False,2020-12-30 16:17:35
260,soufiane945,1308821736817819656,Antwerp,,,False,False,2020-12-30 16:17:34
261,realityglimpses,3992973797,Verviers,,,False,False,2020-12-30 16:17:33
262,nietnuLaura,2228604475,Antwerp,,,False,False,2020-12-30 16:17:32
263,koenvhb,1416405817,Louvain,airport_girl,45003211,False,False,2020-12-30 16:17:07
264,benjamin_dhont,1109002022576144384,Kortrijk,,,False,False,2020-12-30 16:17:01
265,resgesvoise,4900537499,Gesves,,,False,False,2020-12-30 16:16:54
266,madalinacazan1,1332004191863255040,Charleroi,madalinacazan1,1332004191863255040,False,False,2020-12-30 16:16:47
267,madalinacazan1,1332004191863255040,Charleroi,madalinacazan1,1332004191863255040,False,False,2020-12-30 16:16:40
268,blue_knacki,4882054979,Aubange,,,False,False,2020-12-30 16:16:33
269,kskrckBG,489023966,Antwerp,,,True,False,2020-12-30 16:16:17
270,DarthSquig,19772495,Etterbeek,,,True,False,2020-12-30 16:16:06
271,DAhmadloo,948101562601234434,Sint-Lambrechts-Woluwe,DAhmadloo,948101562601234434,False,False,2020-12-30 16:15:58
272,BiancaCvozC1,928260889031200773,Overpelt,,,False,False,2020-12-30 16:15:45
273,madalinacazan1,1332004191863255040,Charleroi,t_mira_,1319651626630733824,False,False,2020-12-30 16:15:44
274,JackyVandecast1,1324290998432878593,Tielt,AngeliqueFens,1341762832946393089,False,False,2020-12-30 16:15:16
275,VeerleHeymans,763528482605391873,Gingelom,LettyvdGeest,132495044,False,False,2020-12-30 16:14:48
276,JackyVandecast1,1324290998432878593,Tielt,faimedw,258715353,False,False,2020-12-30 16:14:45
277,veysJ,220006758,Louvain,,,False,False,2020-12-30 16:14:39
278,DAhmadloo,948101562601234434,Sint-Lambrechts-Woluwe,,,False,False,2020-12-30 16:14:37
279,DarthSquig,19772495,Etterbeek,spreeblick,3782931,False,False,2020-12-30 16:14:35
280,GGabylowskyi,1126862917373169664,Brussels,,,True,False,2020-12-30 16:14:27
281,microrelie,476333069,Walcourt,microrelie,476333069,False,False,2020-12-30 16:14:20
282,DAhmadloo,948101562601234434,Sint-Lambrechts-Woluwe,,,False,False,2020-12-30 16:13:39
283,JackyVandecast1,1324290998432878593,Tielt,lagertha30669,1272995122582622209,False,False,2020-12-30 16:13:33
284,ibnkafka,14250699,Brussels,,,False,False,2020-12-30 16:13:28
285,GGabylowskyi,1126862917373169664,Brussels,,,True,False,2020-12-30 16:13:28
286,BiancaCvozC1,928260889031200773,Overpelt,,,False,False,2020-12-30 16:13:17
287,JackyVandecast1,1324290998432878593,Tielt,jenny68119220,1131876829076381696,False,False,2020-12-30 16:13:07
288,docyvan,962072212403494913,Sint-Lievens-Houtem,torfsrik,144113649,False,False,2020-12-30 16:13:05
